id,type,text1,text2,text3,text4,text5,notes
rat_abyss_warning_beacon,CUSTOM,"A fully autonomous warning beacon. Contains a solid-state power system which enables theoretical operation and station-keeping half-life with an upwards range in the hundreds of thousands of cycles.

The astute starship captain will heed well its warning.",,"A fully autonomous warning beacon. Contains a solid-state power system which enables theoretical operation and station-keeping half-life with an upwards range in the hundreds of thousands of cycles.

The astute starship captain will heed well its warning.",,,
rat_abyss_gate,CUSTOM,"A silent ring of adamantine material, derelict of a former age. This gate has the unique property of once having served active connections within a hyperspace-like medium. Somehow, unlike all other locations in hyperspace, the depths don't appear to interfere with a gate's components.",,,,,
rat_genesis_memorial,CUSTOM,"A small probe orbiting the abyss, the fleet has never before taken note of it.",,,,,
,,,,,,,
rat_abyss_fabrication,CUSTOM,An abandoned station equipped with the tools required to manufacture components from local abyssal matter. Scans indicate that it has been dead for ages.,,,,,
rat_abyss_accumalator,CUSTOM,A station that once collected charged abyssal matter to power local infrastructure and produce new technologies.,,,,,
rat_abyss_research,CUSTOM,A unique and abandoned research station that performed experiments with the exotic matter of the abyssal depths. It is said that many new technologies were once in the grasp of completion thanks to this type of station.,,,,,
rat_abyss_drone,CUSTOM,"An Abandoned multi-purpose drone that was once used for delivering materials, scanning locations and deploying smaller droneships for local tasks throughout the abyssal depths.",,,,,
rat_abyss_transmitter,CUSTOM,A relatively small transmitter that was used to establish a communication network through the different zones of the abyssal depths and to measure local phenomena.,,,,,
rat_abyss_unknown_lab,CUSTOM,A small station with no remaining records of its existence. Scans indicate that it may have been abandoned for longer than just since the collapse.,,,,,
rat_military_outpost,CUSTOM,A small military outpost that doesn't appear on any surviving records.,,,,,
rat_sariel_outpost,CUSTOM,A small outpost suspended within the depths. Such structures have been used to accommodate those that stayed within the area for an extended period of time.  Scans indicate that there may be worthwhile remains within its docks.,,,,,
,,,,,,,
,,,,,,,
rat_abyss_beacon,CUSTOM,"A manmade beacon to illuminate the depths of the abyss in areas devoid of photospheres or other sources of natural light. Unlike other sources, it is unable to produce a constant amount of light, making it less reliable for nearby operations, but still being a better solution than nothing at all.",,,,,
,,,,,,,
,,,,,,,
rat_chronos_core,RESOURCE,"A core resembling that of an alpha-level ai. It appears heavily altered, though by what remains unknown, as the core refuses to respond to any such matter. It has a high affinity for time-manipulating machinery. ",,,,,
rat_cosmos_core,RESOURCE,"A core resembling that of an alpha-level ai. It appears heavily altered, though by what remains unknown, as the core refuses to respond to any such matter. It has a high affinity for space-bending mechanisms. ",,,,,
rat_seraph_core,RESOURCE,"An odd core from the abyssal depths. It is unable to process normal speech patterns, but appears to be capable of understanding commands. Even in the context of artificial intelligence, it seems especialy reckless. ",,,,,
rat_primordial_core,RESOURCE,"An utterly incomprehensible AI core, appearing to give a glimpse of a different space altogether if observed directly. When interfaced with an automated ship, part of this property is transferred over.",,,,,
,,,,,,,
rat_ceto,SHIP,A small and fast fighter that packs a strong shield. Its weapons can temporarily decrease the effectiveness of the opponent's armor.,,,,,
,,,,,,,
rat_merrow,SHIP,"A rather specialised ship, that doesn't have much in terms of variable ordnance, but comes with an intense beam weapon built-in that can generate an astonishing amount of flux on shields and electromagnetic interference on an opposing hull.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
rat_makara,SHIP,"A ship our crew often refers to as the younger sibling of the ""Aboleth-Class"". While not as well versed, it is astonishing that such a package is fit in to the hull of a frigate in the first place. It perfectly supplements the missing strength of its allies and is able to quickly move out of harm's way when needed.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
rat_chuul,SHIP,"When observed within opposing autonomous fleets, the ship's AI-Core appears much more aggressive than if they were controlling any other ship. This aggressiveness occasionally has good results for it, but also leads to situations from which it can barely escape.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
rat_aboleth,SHIP,"One of the most common and most consistent ships within the abyssal doctrine. It is hard to describe where the strength of the Aboleth lies, as it excels in most aspects. With a weaker version of the ""Temporal Shell"" shipsystem, that is adjusted for its ship size and doctrine, any battle is one where a loss for it is never certain.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
rat_aboleth_m,SHIP,"One of the most common and most consistent ships within the abyssal doctrine. It is hard to describe where the strength of the Aboleth lies, as it excels in most aspects. With a weaker version of the ""Temporal Shell"" shipsystem, that is scaled up for its ship size and doctrine, any battle is one where a loss for it is never certain.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
rat_morkoth,SHIP,An extreme powerhouse of a ship that instills fear whenever enemy crew have to deal with it. It rarely appears alone as its systems enable it to work as an abyssal fleet's main anchor that provides strength to all of its allies. It is unclear why a ship in such a remote place needs this much firepower.,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,,,,,
rat_raguel,SHIP,A fast and reliable frigate that is decently overspecced for its size-class. This makes it expensive to deploy but also all the more worthwhile. The crystal-like structure within its center appears to absorb flux residue to enable the ship to jump through time. On the battlefield this ability enables it to suddenly surround its enemies and create a path for its allies.,Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
rat_sariel,SHIP,"The mainstay of an abyssal archetype called ""Seraphs"" according to the hulls dataspec chip. A group of rare, but exceptionaly tough ships. A mysterious system absorbs the flux residue from impacts on the hull to put its own systems in to overdrive. The ship itself appears to be specifically designed to manage unaccompanied hunts against any opponent of its choice. ",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
rat_raphael,SHIP,"A unique variant of the Sariel-Class, its origin being of unknown circumstance. It has been refitted for the Sierra AI persona, to the point of including her favorite phase system of choice, but with a sort of abyssal energy in effect. A strong influence of both abyssal and anomalous phase aspects make this a ship to behold, appearing out of nowhere with all its might.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
rat_gabriel,SHIP,"A terrifying presence, being virtually invisible on radar scopes outside of active deployment. This effect is caused by its unique and poorly understood phase-drive, that drills itself through the ship's engine section like a spine. Extreme caution is advised against this ship due to the unpredictability of its spatial manipulation.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,,,,,
rat_saint,SHIP,"IDENTIFICATION ERROR: Target matches no known class of ship in the Domain registry or historical reference. Submit data for temporary entry? Processing. ERROR // DOMAIN INFOSEC VIOLATION THRESHOLD WARNING
// retry?
 Processing. ERROR // From the depths
// retry?
 Processing. ERROR // Reborn once more
// process failed.

IMMEDIATELY contact DOMAIN INFOSEC to review compliance with Domain Information Security Standards.",Unidentified Vessel,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,,,,,
rat_genesis_serpent_head,SHIP,"A hull similar to those encountered before, however while some glimpses of their properties remain, it is mutilated beyond recognition. The ship is constructed out of a chain of individual and incredibly flexible parts. No known material matches the tensile strength represented within the components of this ship.",Genesis-Class,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
rat_genesis,SHIP,"A hull similar to those encountered before, however while some glimpses of their properties remain, it is mutilated beyond recognition. Fleet Operations around this ship are dangerous for the fleet at large. The constant and unending spatial instability around it make it a threat to any other hull nearby, and with much of its workings poorly understood, it is unknown what actions may trigger fatalities.",Genesis-Class,"UNKNOWN ENTRY

Please register your Tri-Tachyon datapad to receive the latest news and updates.",,,
,,,,,,,
,,,,,,,
rat_abyssal_current,SHIP_SYSTEM,"When activated, the ship can fire its built-in ""Abyssal Wave Emitter"" weapon. This beam enables a short burst of damage, partially dealing EMP damage through emitted EMP Arcs.",,,,,
rat_abyssal_skimmer,SHIP_SYSTEM,"Instantly relocates the ship some distance in to the direction the ship is traveling. For a short moment after activation, time is slowed down and flux dissipation is increased by 25%.",,"Instantly relocates the ship some distance in to the direction the ship is traveling. For a short moment after activation, time is slowed down and flux dissipation is increased by 25%.",relocates | slowed | 25%,,
rat_abyssal_cloak,SHIP_SYSTEM,"Temporarily doubles the ship's timeflow, decreases damage taken by 20% and increases the damage dealt by non-missile weapons by 10%. Also effects all fighters deployed by the ship.",,"Temporarily doubles the ship's timeflow, decreases damage taken by 20% and increases the damage dealt by non-missile weapons by 10%. Also effects all fighters deployed by the ship.",doubles | 20% | 10%,,
rat_abyssal_charge,SHIP_SYSTEM,"Instantaneously increases the ship's maneuverability and max speed. Afterwards, sudden energetic charges are sent towards all allies within a radius of 1500 units. All affected allies have their cooldowns and time to regenerate charges for shipsystems reduced by half, while also receiving several smaller buffs. This effect lasts for 7 seconds.",,"Instantaneously increases the ship's maneuverability and max speed. Afterwards, sudden energetic charges are sent towards all allies within a radius of 1500 units. All affected allies have their cooldowns and time to regenerate charges for shipsystems reduced by half, while also receiving several smaller buffs. This effect lasts for 7 seconds.",1500 | half | 7,,
rat_raguel_system,SHIP_SYSTEM,Provides the ship with a brief but extreme increase in timeflow. Charges do not regenerate passively and instead it gains a charge for every 5000 damage dealt towards other ships while the system is inactive.,,Provides the ship with a brief but extreme increase in timeflow. Charges do not regenerate passively and instead it gains a charge for every 5000 damage dealt towards other ships while the system is inactive.,5000,,
rat_sariel_system,SHIP_SYSTEM,"Disables shields and prevents any increases in weapon range from other sources (hullmods, skills). In exchange it decreases all damage taken, increases weapon fire rate and damage and improves the maneuverability of the ship.",,,,,
rat_raphael_system,SHIP_SYSTEM,"Briefly rips the ship into an alternate dimension where it can not be hit, time passes more quickly and its speed is increased. Stores up to two charges. Builds up hard flux on activation and while in use. After activation ends, the ship gains 20% increased weapon damage and fire rate for 3 seconds.",Defensive,"Briefly rips the ship into an alternate dimension where it can not be hit, time passes more quickly and its speed is increased. Stores up to two charges. Builds up hard flux on activation and while in use. After activation ends, the ship gains 20% increased weapon damage and fire rate for 3 seconds.",20% | 3,,
rat_temporal_stasis,SHIP_SYSTEM,Forces a targeted ship within 900 units of the ship in to a different dimension where time moves much slower. The targeted ship can not be hit or retaliate during the duration of the system and will be ignored by opponents. Also applies to all of the target's deployed fighters. ,,Forces a targeted ship within 900 units of the ship in to a different dimension where time moves much slower. The targeted ship can not be hit or retaliate during the duration of the system and will be ignored by opponents. Also applies to all of the target's deployed fighters. ,900 | slower | can not be hit or retaliate,,
rat_spatial_disturbance,SHIP_SYSTEM,Massively increases the ship's timeflow and maneuverability for a short period of time. This system holds multiple charges.,,Massively increases the ship's timeflow and maneuverability for a short period of time. This system holds multiple charges.,timeflow | maneuverability,,
rat_primordial_cloak,SHIP_SYSTEM,"Temporarily increases the ship's timeflow by 50%, decreases damage taken by 20% and increases the damage dealt by non-missile weapons by 10%. Affects all modules of the ship.",,"Temporarily increases the ship's timeflow by 50%, decreases damage taken by 20% and increases the damage dealt by non-missile weapons by 10%. Affects all modules of the ship.",50% | 20% | 10%,,
,,,,,,,
#Abyss Builtins,,,,,,,
rat_merrow_beam,WEAPON,A strong beam that is only capable of firing when the ship enables its shipsystem. The beam is highly efficient on flux use and can pose a large threat to unshielded hulls due to its high EMP output.,,,,,
,,,,,,,
rat_sariel_launcher_left,WEAPON,A small missile launcher that recharges its ammunition by absorbing remaining flux from the surroundings of targeted ships.,,,,,
rat_sariel_launcher_right,WEAPON,A small missile launcher that recharges its ammunition by absorbing remaining flux from the surroundings of targeted ships.,,,,,
rat_raphael_launcher_left,WEAPON,A small missile micromissile launcher that gains its energy from local phase phenomena.,,,,,
rat_raphael_launcher_right,WEAPON,A small missile micromissile launcher that gains its energy from local phase phenomena.,,,,,
,,,,,,,
rat_genesis_motelauncher,WEAPON,"A weapon ejecting multiple microscopic charges that tear the space surrounding it, creating a temporary singularity that no matter can escape from.",,,,,
rat_genesis_motelauncher_pd,WEAPON,"A weapon ejecting multiple microscopic charges that tear the space surrounding it, creating a temporary singularity that no matter can escape from.",,,,,
rat_genesis_construct_flamer_large,WEAPON,A plasmathrower of exceptional output. It manages to ignite anything that gets even somewhat close to it.,,,,,
,,,,,,,
,,,,,,,
#Abyss Weapons,,,,,,,
rat_shortfin,WEAPON,A rapid fire point defense weapon that can deal with a variety of threats at a low flux cost.,,,,,
rat_ceto_blaster,WEAPON,"A small kinetic blaster build in to the ceto. Due to special properties of the projectile's plasma, impacts on hull can temporarily weaken the effectiveness of the target's armor.",,,,,
rat_ceto_laser,WEAPON,A small beam that allows the ceto to deal a chunk of damage against armored targets.,,,,,
rat_lusca,WEAPON,"A short range blaster that can pose a threat against shields. Due to special properties of the projectile's plasma, impacts on hull can temporarily weaken the effectiveness of the target's armor.",,,,,
rat_humpback,WEAPON,"A long range blaster that poses a steady threat against enemy shields. Due to special properties of the projectile's plasma, impacts on hull can temporarily weaken the effectiveness of the target's armor.",,,,,
rat_haddock,WEAPON,"A large blaster that can easily suppress enemy shields. Thanks to special properties of the projectile's plasma, impacts on hull can temporarily weaken the effectiveness of the target's armor.",,,,,
rat_leviathan,WEAPON,"The Leviathan is a long-range railgun that is able to to damage enemy defenses in all situations, but is especially capable against targets without active shields.",,,,,
,,,,,,,
rat_cecaelia,WEAPON,A shotgun that fires high-energy pellets at the opposing ship. Those projectiles leave high-energy ions behind that inhibit the opponent's flux vents.,,,,,
rat_calypso,WEAPON,"Rapidly fires thin projectiles that penetrate in to the target's hull, causing small but effective internal explosions that rapidly mean the decline of the opponent's armor.",,,,,
,,,,,,,
rat_seadragon_rack,WEAPON,Fires a Seadragon DEMs that unleashes energy bursts upon the target. They are exceptional at making captains second-guess the decision to lower their shields. Can recharge their ammunition over time.,,,,,
rat_seadragon,WEAPON,Fires multiple Seadragon DEMs that unleash energy bursts upon the target. They are exceptional at making captains second-guess the decision to lower their shields. Can recharge their ammunition over time.,,,,,
,,,,,,,
rat_asterina,WEAPON,"A small beam weapon that is capable of reliably suppressing enemy shields, however its effectiveness falls off as the target's flux level rises.",,,,,
rat_asterias,WEAPON,"A beam weapon that is capable of reliably suppressing enemy shields, however its effectiveness falls off as the target's flux level rises.",,,,,
rat_seabream,WEAPON,A burst beam weapon that can do effective damage against the target's armor. It can store multiple charges to fire again in quick succession.,,,,,
,,,,,,,
rat_azazel_blade,WEAPON,"It emits dozens of tiny, but energetic shards that appear to be attracted to nearby flux signatures. Their bright, blue glow may appear beautiful on optical sensors, but lose their beauty when they break through the ship's shields.",,,,,
rat_apollyons_end,WEAPON,"Fires fast and heavily charged clumps of energy towards its targets. Its shots are accurate and hard to avoid, and make an easy dent within most armor.",,,,,
rat_lucifers_wrath,WEAPON,Fires a massive stream of hyperdimensional plasma that sends anything it comes in contact with in to turmoil. All things within its grasp may never again escape.,,,,,
rat_abaddon_lance,WEAPON,"A weapon like no other in the known universe. During its chargeup process, it compresses an incredible amount of energy that it is then capable of discharging within milliseconds, sending an immense explosive force towards its target.",,,,,
,,,,,,,
#Abyss Logs,,,,,,,
rat_abyss_log0,CUSTOM,Abyssal Matter,"There are lots of unique aspects about this environment, but one of the defining factors is the exotic matter that engulfs its entirety. Unlike the vacuum of space, moving through it causes constant drag on the hull's surface, and even though the forces at play are rather weak, the persistence of it drastically increases required maintenance.  

Not to mention that our sensory instruments are almost useless, as their signals decay after passing through even short distances of this stuff. We are essentially flying blindfolded.

I at least find the sound caused by the ship pushing against the abyssal matter to be rather calming, it is a nice change of pace compared to the dead silence of normal space.

Some crew reports hearing more than just those sounds, but I find it easy to blame that on the paranoia caused by our total isolation.
",,,,
rat_abyss_log1,CUSTOM,Mysterious Particles,"Within the abyssal matter, there are occasionally small clumps of especially charged mass. We aren't quite sure about the process that creates them, but they turn out to be quite useful for us. The sensors can distinguish them from the rest of the environment and track their paths. It helps us analyse the shifting flows and optimise our pathing for the least resistance.

There however appear to be certain zones that have an especially high concentration of those particles, and traversing them has caused at least a dozen electronic malfunctions for our fleet.

A few crew members seem to enjoy watching this anomaly through the fleet's instruments, it apparently reminds them of the weather of their homeworld.
",,,,
rat_abyss_log2,CUSTOM,Autonomous Operations,"Over time the expeditions in to the abyssal depths ramped up. As we discovered more use for the abyssal matter for new technologies, more parties started to show interest despite the danger. 

Due to this new found interest, the place has been flooded with autonomous droneships. Everyone is trying to either make the most of the financial gain connected to taking their own share, and such has been much easier when hulls don't have to be made to a human standard, or crew families compensated for accidental deaths.

Despite this, the AI cores prove rather unreliable at times. At times the droneships have been missing for days after their scheduled arrival date, and cores have been found to be rather unresponsive during their flights.

All this commotion even led to a new gate being constructed close to the surface of the abyss. There were concerns about how it would interact with the environment at first, but it appears to be working fine in the end. 
",,,,
rat_abyss_log3,CUSTOM,Vastness,"As we first discovered the abyssal depths, we were unable to make it through the terrain and had to wait for further supplies and improved hulls to arrive from beyond the gates. It would be suicide to attempt expeditions without that equipment.

We’ve been traversing it for months now, each time we surface back in to hyperspace and dive back in, we make some more progress in to its depths, but we haven't been able to discover anything new for a while now.

Despite that, there almost seems to be no end to this place. We still have so much to explain, and I'm sure we will find the answers somewhere deeper. 
",,,,
rat_abyss_log4,CUSTOM,Missed Schedule,"We’ve been reliant on the scheduled arrival of new supplies to keep this station running, but it has been days now and the fleets still haven't arrived. We have tried to contact nearby stations for help, but they can only offer the same complaint.

It seriously can’t be so hard to send new supplies through the gates, especially with so much capital at risk. How incompetent and irresponsible can they be up there? If this continues, we will have to abandon this station and make way for the upper levels. We have to hope that other stations on the way can spare us supplies for our journey back.
",,,,
rat_abyss_log5,CUSTOM,Breach,"On more than one occasion at this point, faults in the hull of some poor vessel caused some of the exotic matter to breach in to the ship. So far we have been lucky, and all breaches could be repaired before it turned in to the worst case scenario. 

However there was one incident that is stuck in my mind. On one such breach, a fellow crewman got exposed to the stuff with direct contact to his skin. Let's just say that it did not turn out well for him. He appeared fine at first, but just a few hours later he started screaming in agony. The medical team could find nothing wrong with his body, but he passed shortly after from the shock.

Whatever that shit is, I don't wanna be anywhere near it. And all of this was just from a brief contact with this fellow's skin. I wouldn't want to know how much worse longer exposure might be.
",,,,
rat_abyss_log6,CUSTOM,Pressure,"The deeper we descend, the denser the surrounding matter gets. We’ve tried to fly even further, but this density is proving to be too much of a logistical and navigational issue. Even with the recent increase in activity, no reasonable man is foolish enough to make their way through. Almost exclusively drones have been sent in to those environments, but proving our theory of the uninhabitability of those parts, only few make a return.

Of those that do, the cores seem weirdly…scarred. Not much in a physical way, but they have been behaving…oddly, to say the least. They have been inspected for damage, but nothing of significance has been found.
",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
#Exo,,,,,,,
rat_exotech,FACTION,"A megacorporation once known as ""ExoTech Engineering"", a research and construction subsidiary of ""Altair Exotech"". Their primary purpose was on logistic efforts in the fringes of yet to be developed sectors. Being much more reliant on hyperspace technologies, much of their budget was invested into researching technologies for improved non-gate travel.

Eventually they’ve made the breakthrough they wanted, a stable fusion of a flux grid and phase-coil components, enabling the integration of hyper-dimensional aspects in a compactness barely ever seen before. With this technology they were able to construct their magnum opus, colossal stations capable of warping between systems at instantaneous speeds. Those quickly became known as “Exoships”. For a field-test, 5 of them were deployed within the Persean sector.

Now however, only one of them is known to remain. All others have been lost past the collapse, in wars the faction thought winnable due to their ability to move fast in a world send back to to a comparative stone age. But as major powers established, their aggressiveness backfired, and left barely any fragments of them left. 

But they haven't gone without spoils either, having hoarded and stolen numerous Domain-grade artifacts during the early collapse, and having developed many advanced systems for their own wars, some of their riches remain on their only Exoship. But as a small target with vast wealth, they became easy prey, and such now travel through the fringes of the sector, hoping to avoid any confrontation. Only few know of their actual location.
",,,,,
,,,,,,,
rat_exoship,CUSTOM,"A construct that stands at the center of all of Exotechs' life-support. Often referred to as ""exo-ship"", this gigantic station is capable of traversing towards other systems at a speed second only to gates. This once minor benefit became a major advantage within the early days of the post-collapse sector, moving the faction towards unstoppable acts of piracy. That was until they themself lost the position of advantage, and with many losses, only one of those giants remains, now crossing the fringes of the sector in isolation.",,,,,
rat_exoship_broken,CUSTOM,"The remains of an Exoship, an invention by the ""exo-tech"" faction, capable of jumping between starsystems at a moments notice. All but one are claimed to have been entirely destroyed during hostile encounters dozens of cycles ago, yet proof stating otherwise appears right there on your visual instruments.",,,,,
,,,,,,,
rat_hypernavigational_beacon,CUSTOM,"A beacon constructed by the exo-tech faction, scattered across the sector to support their warp-system. Most newer ones are rather well hidden within deep space, but first-generation beacons, like this one, are positioned more haphazardly.",,,,,
rat_exo_hideout,CUSTOM,A long abandoned station withering away within the fringes. Scans indicate no recent activity.,,,,,
rat_exo_hideout_active,CUSTOM,A long abandoned station withering away within the fringes. Scans indicate recent activity.,,,,,
,,,,,,,
rat_supernova,SHIP,"An experimental autonomous fighter based on the design principals behind the Hypatia-class. Along with its warp-system, this fighter has the unique ability to act entirely independently from its host carrier after deployment. Combining all of those aspects enables the Supernova to rapidly assist any ship in need.",,,,,
rat_hyper_pulser,WEAPON,"A much downscaled version of other hyperspatial technologies. It appears that when applied on this scale, much of its unique properties dissapear, but due to the supernovas advanced energy core, it is a massive threat non the less.",,,,,
rat_supernova_system,SHIP_SYSTEM,"Moves the ship in to phase-space, massively increases its speed and largely reduces its maneuverability. ",,"Moves the ship in to phase-space, massively increases its speed and largely reduces its maneuverability. ",phase-space || speed || maneuverability,,
,,,,,,,
rat_nightblade,SHIP,"A unique hybrid of fighter & bomber. Equipped with a single-charge, high damage phase-beam that deals intense burst damage after a few seconds of charging up, at the downside of having to return to its carrier after each attack run.",,,,,
rat_twilightray,WEAPON,"A strong phase-burst-beam developed for the Nightblade-Class. Due to its single-charged nature, and its high time of activation, the targeting computer makes sure that it can find an opening in the opponents shields before firing.",,,,,
,,,,,,,
rat_dawnblade,SHIP,"The pinnacle of exo-tech fighter engineering. Its central hardpoint holds an incredibly threatening beam, while its micro-missile forge constantly produces new missiles to distract enemy point-defense and suppress their shields. ",,,,,
rat_dawnlance,WEAPON,"A weapon specifically designed for exo-tech fighters. Emits a constant and unstable stream of plasma upon its target, dealing detrimental damage towards its armor.",,,,,
rat_dawnbreaker,WEAPON,A micro-launcher designed for exo-tech fighters. Overwhelms any PD-Grid that isn't prepared for its constant array of missiles.,,,,,
,,,,,,,
rat_protostar,SHIP,"A fighter that has been build around housing the starburst-microlauncher, some may claim its just a microlauncher with engines attached. No matter its construction, it steadily orbits its target and unleashes a swarm of micro-missiles upon them.",,,,,
rat_starburst_fighter,WEAPON,"A heavily modified version of the starburst microlauncher, diminished in size to fit a smaller chassis. Due to this compromise it fails to match the strength of its original, but still stands as a strong piece of ordnance for its fighter.",,,,,
,,,,,,,
rat_thestia,SHIP,"A rather compact carrier, designed to house only a single bay area. The deployed fighters are connected to an experimental device, based on effects first observed within the Arkas-class, creating what appears to be afterimages that can assist in combat. Not much is understood about the mechanics, and it is still unknown where those ""afterimages"" come from. Some speculate them to be forced into the sector from a parallel dimension, some assume them to be time-related paradoxes, yet none of those ideas could find any definitive proof. Nonetheless this phenomena gives the ship the ability to severely increase its threat within the span of seconds.",,,,,
rat_hypatia,SHIP,"A destroyer that embodies ""Rapid Response"" within all aspects of its design. It is the first craft within the faction's line-up to integrate an experimental version of the Exoships' warp-drive into a small frame. While this integration has a massively decreased maximum range, it is enough to turn the tides of battle from carefully planned use of the ship.",,,,,
rat_tylos,SHIP,"As one of the latest design in the factions line-up, the Tylos-Class showcases all the extremes researched over dozens of cycles. The technology is used to force specific compartments into a state of constant superposition, enabling the instant replacement of everything within it at the press of a button. Due to the inherent danger stemming from this tech, the ship has quickly gained a reputation that strikes fear into any crew that gets assigned to it.",,,,,
rat_tylos_double,SHIP,"As one of the latest design in the factions line-up, the Tylos-Class showcases all the extremes researched over dozens of cycles. The technology is used to force specific compartments into a state of constant superposition, enabling the instant replacement of everything within it at the press of a button. Due to the inherent danger stemming from this tech, the ship has quickly gained a reputation that strikes fear into any crew that gets assigned to it.",,,,,
rat_arkas,SHIP,"The defining Exo-Tech ship, being the first military iteration of the companies exo-grid technology, built from materials they hoarded in the early cycles after the collapse. The extended use of the exo-grid technology allowed them to create incredibly integrated phase-systems for a ship of its size, enabling a much more stable phasecloak. The flux-grid powered shipsystem manages to put a large amount of pressure on to its opponents at a moments notice.",,,,,
rat_leanira,SHIP,"The largest battlecarrier within the exo-tech doctrine. Its design was conceived to fill the weaknesses of the Arkas-class in real combat, providing support from both far and near distances when required. It is built with a large, hollow interior that is almost entirely dedicated to hosting its deployable ""apheidas"" platform. Due to the deployment systems limited range, it is known to fight in closer ranges than the average carrier, the same system however allows it to fully support itself within those close quarters.",,,,,
,,,,,,,
